Var1,time,acc_x,acc_y,acc_z,pulse,eda
217,2170,262.21,47.36,953.12,0.44,8.54
218,2180,242.68,58.59,954.1,0.44,8.59
219,2190,248.05,66.41,954.59,0.43,8.5
220,2200,250,56.15,954.59,0.43,8.4
221,2210,258.3,65.92,959.96,0.43,8.5
222,2220,252.93,62.5,964.36,0.43,8.64
223,2230,244.63,61.52,960.45,0.43,8.63
224,2240,235.84,66.89,964.36,0.42,8.55
225,2250,239.26,59.57,958.5,0.42,8.46
226,2260,228.52,65.43,954.1,0.43,8.4
227,2270,235.84,64.45,958.98,0.42,8.72
228,2280,247.07,62.5,959.96,0.41,8.56
229,2290,239.26,56.15,966.31,0.41,8.51
230,2300,236.82,71.78,960.94,0.42,8.47
231,2310,239.26,68.36,962.4,0.41,8.52
232,2320,239.26,62.01,960.94,0.42,8.64
233,2330,241.21,64.94,962.89,0.42,8.56
234,2340,250.98,50.78,962.4,0.41,8.43
235,2350,240.23,65.92,951.66,0.41,8.59
236,2360,248.54,58.59,967.77,0.42,8.58
237,2370,236.33,56.64,965.82,0.42,8.45
238,2380,230.47,60.55,957.52,0.42,8.48
239,2390,256.35,55.18,949.71,0.42,8.59
240,2400,247.56,53.71,947.27,0.42,8.58
241,2410,243.16,72.27,959.96,0.42,8.42
242,2420,258.3,58.59,956.54,0.42,8.58
243,2430,246.09,62.99,967.77,0.43,8.67
244,2440,256.84,56.64,945.8,0.42,8.51
245,2450,244.14,71.29,960.94,0.42,8.53
246,2460,244.14,52.73,953.12,0.43,8.67
247,2470,233.89,53.22,966.8,0.42,8.5
248,2480,241.21,68.36,959.96,0.42,8.5
249,2490,244.14,71.29,953.12,0.43,8.34
250,2500,229.98,61.04,959.47,0.43,8.52
251,2510,238.28,56.15,955.57,0.43,8.63
252,2520,240.72,66.41,968.75,0.44,8.53
253,2530,242.68,40.04,949.22,0.44,8.44
254,2540,236.33,67.38,960.94,0.44,8.56
255,2550,242.68,59.08,958.98,0.45,8.61
256,2560,233.89,55.18,964.36,0.45,8.5
257,2570,238.77,65.92,967.29,0.46,8.59
258,2580,239.26,73.24,973.14,0.48,8.58
259,2590,236.33,59.57,964.36,0.48,8.44
260,2600,238.28,72.27,958.01,0.48,8.56
261,2610,248.05,62.5,958.01,0.49,8.68
262,2620,242.68,58.59,959.96,0.49,8.41
263,2630,244.63,58.11,957.52,0.49,8.61
264,2640,244.14,57.62,960.45,0.49,8.45
265,2650,248.54,56.15,948.73,0.48,8.42
266,2660,253.91,77.15,964.36,0.47,8.42
267,2670,243.16,65.92,963.87,0.47,8.56
268,2680,253.42,59.08,957.03,0.46,8.5
269,2690,234.86,63.96,956.05,0.45,8.65
270,2700,234.86,62.01,963.38,0.44,8.49
271,2710,245.61,50.29,953.12,0.44,8.5
272,2720,245.61,56.64,954.59,0.43,8.4
273,2730,247.07,48.34,955.08,0.42,8.5
274,2740,247.56,52.73,958.01,0.42,8.43
275,2750,240.72,65.43,958.5,0.41,8.62
276,2760,250,47.36,952.15,0.41,8.58
277,2770,240.72,66.89,952.15,0.41,8.58
278,2780,238.77,71.29,954.1,0.41,8.5
279,2790,237.3,52.25,960.45,0.41,8.63
280,2800,231.45,66.41,966.31,0.41,8.43
281,2810,255.86,56.64,965.82,0.41,8.59
282,2820,234.86,59.57,950.68,0.41,8.56
283,2830,238.28,55.18,959.47,0.42,8.5
284,2840,230.96,67.87,955.57,0.42,8.61
285,2850,235.35,51.27,954.1,0.42,8.54
286,2860,249.51,53.71,955.08,0.43,8.44
287,2870,243.16,51.27,970.21,0.43,8.86
288,2880,247.56,49.32,954.59,0.44,8.54
289,2890,263.67,59.08,965.82,0.44,8.36
290,2900,234.86,52.73,944.34,0.44,8.37
291,2910,250.98,64.94,944.34,0.44,8.59
292,2920,238.28,68.36,962.89,0.44,8.56
293,2930,242.19,57.13,959.96,0.44,8.4
294,2940,242.19,74.71,962.89,0.43,8.59
295,2950,232.42,61.52,949.71,0.44,8.5
296,2960,240.72,60.06,954.59,0.43,8.4
